v1
0.8.1-1+
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
CachyOS,AMD Ryzen 7 9800X3D 8-Core Processor,NVIDIA GeForce RTX 4090,31909088,6.17.4-4-cachyos,,performance
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
172.64,5.7924,27.904,76.5598,99,65,59,2565,10960,15.6611,256,12.1983,0,0,526598467
172.01,5.81363,27.904,76.5598,99,65,59,2565,10960,15.6611,256,12.1983,0,0,626728539
183.387,5.45294,27.904,76.5598,99,65,59,2565,10960,15.6611,256,12.1983,0,0,726808218
167.343,5.97573,27.904,76.5598,99,65,59,2565,10960,15.6611,256,12.1983,0,0,826890371
176.185,5.67585,27.904,76.5598,99,65,59,2565,10960,15.6611,256,12.1983,0,0,926969879
182.429,5.48158,27.1229,76.2381,99,65,59,2541,10960,15.6672,256,12.2011,0,0,1027043887
172.61,5.79341,27.1229,76.2381,99,65,59,2541,10960,15.6672,256,12.2011,0,0,1127119137
174.014,5.74668,27.1229,76.2381,99,65,59,2541,10960,15.6672,256,12.2011,0,0,1227191010
197.095,5.07368,27.1229,76.2381,99,65,59,2541,10960,15.6672,256,12.2011,0,0,1327266281
179.244,5.579,27.1229,76.2381,99,65,59,2541,10960,15.6672,256,12.2011,0,0,1427339246
178.682,5.59652,27.0886,74.9012,99,65,59,2616,10960,15.6728,255,12.2111,0,0,1527421870
170.634,5.8605,27.0886,74.9012,99,65,59,2616,10960,15.6728,255,12.2111,0,0,1627495808
187.454,5.33465,27.0886,74.9012,99,65,59,2616,10960,15.6728,255,12.2111,0,0,1727570577
172.962,5.78161,27.0886,74.9012,99,65,59,2616,10960,15.6728,255,12.2111,0,0,1827645005
189.901,5.26591,27.0886,74.9012,99,65,59,2616,10960,15.6728,255,12.2111,0,0,1927721358
227.224,4.40095,26.2025,74.2119,94,65,59,2652,10960,15.6763,255,12.2127,0,0,2027793993
